Date,Price,Open,High,Low,Change %
27-Jun-18,1.1554,1.1647,1.1674,1.1541,-0.80%
26-Jun-18,1.1647,1.1704,1.1722,1.1635,-0.49%
25-Jun-18,1.1704,1.1659,1.1715,1.1627,0.40%
22-Jun-18,1.1657,1.1604,1.1677,1.16,0.47%
21-Jun-18,1.1603,1.1572,1.1635,1.1509,0.27%
20-Jun-18,1.1572,1.159,1.1602,1.1537,-0.16%
19-Jun-18,1.159,1.1624,1.1646,1.153,-0.28%
18-Jun-18,1.1623,1.1609,1.1625,1.1563,0.12%
15-Jun-18,1.1609,1.1568,1.1629,1.1543,0.35%
14-Jun-18,1.1569,1.1791,1.1853,1.1562,-1.88%
13-Jun-18,1.1791,1.1745,1.1803,1.1725,0.39%
12-Jun-18,1.1745,1.1784,1.1811,1.1733,-0.33%
11-Jun-18,1.1784,1.1766,1.1822,1.1754,0.14%
8-Jun-18,1.1768,1.18,1.1812,1.1726,-0.26%
7-Jun-18,1.1799,1.1774,1.1842,1.1772,0.22%
6-Jun-18,1.1773,1.1717,1.1797,1.1708,0.47%
5-Jun-18,1.1718,1.1698,1.1733,1.1652,0.16%
4-Jun-18,1.1699,1.1656,1.1744,1.1652,0.33%
1-Jun-18,1.1661,1.1691,1.1718,1.1617,-0.27%
31-May-18,1.1692,1.1665,1.1726,1.1641,0.25%
30-May-18,1.1663,1.154,1.1678,1.1518,1.07%
29-May-18,1.154,1.1625,1.1641,1.1508,-0.71%
28-May-18,1.1623,1.1651,1.1729,1.1605,-0.25%
25-May-18,1.1652,1.172,1.1735,1.1645,-0.58%
24-May-18,1.172,1.1695,1.175,1.1688,0.20%
23-May-18,1.1697,1.1778,1.179,1.1675,-0.70%
